ACCIDENT_NO,SUB_DCA_CODE,SUB_DCA_SEQ,SUB_DCA_CODE_DESC
T20210026186,B01,0,Vehicle going straight through
T20210026220,N02,0,Mid-block
T20210026342,NRQ,0,Not Required
T20210026564,Q07,0,Guard rail
T20210026791,V01,1,No vehicle mounted/struck
T20220000102,W01,2,Leaves carriageway to left
T20220000223,V02,0,Kerb(roadside) mounted/struck
T20220000234,NRQ,0,Not Required
T20220000532,NRQ,0,Not Required
T20220000793,Z03,1,On entrance ramp
T20220001086,V01,1,No vehicle mounted/struck
T20220001693,Q02,0,Tree (shrub/scrub)
T20220002001,NRQ,0,Not Required
T20220002042,A01,0,Vehicle entering intersection
T20220002697,V01,1,No vehicle mounted/struck
T20220002871,Q02,0,Tree (shrub/scrub)
T20220003336,NRQ,0,Not Required
T20220003411,NRQ,0,Not Required
T20220004062,N01,1,Intersection
T20220004424,W02,2,Leaves carriageway to right
T20220004572,R02,0,Kerb parking - parallel
T20220004607,NRQ,0,Not Required
T20220004651,V01,1,No vehicle mounted/struck
T20220005394,NRQ,0,Not Required
T20220005833,A01,0,Vehicle entering intersection
T20220006009,N02,0,Mid-block
T20220006119,N02,0,Mid-block
T20220006244,NRQ,0,Not Required
T20220006823,Q02,0,Tree (shrub/scrub)
T20220006834,NRQ,0,Not Required
T20220007478,R02,0,Kerb parking - parallel
T20220007530,NRQ,0,Not Required
T20220007612,Q10,0,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20220008095,NRQ,0,Not Required
T20220008263,N02,0,Mid-block
T20220008927,NRQ,0,Not Required
T20220009083,N02,1,Mid-block
T20220009395,D01,0,Pedestrian emerged from behind car etc
T20220009541,R02,0,Kerb parking - parallel
T20220009648,S03,2,On footpath
T20220009681,E04,0,Pedestrian standing
T20220009900,I04,1,Commercial(includes shops/school/station) driveway
T20220010196,N02,0,Mid-block
T20220010510,I04,1,Commercial(includes shops/school/station) driveway
T20220010541,S01,2,Collision on first half of carriageway
T20220010684,Q01,0,Poles (telephone/electricity)
T20220011118,NRQ,0,Not Required
T20220011131,NRQ,0,Not Required
T20220011164,N02,0,Mid-block
T20220011187,Q09,0,Buildings
T20220011256,NRQ,0,Not Required
T20220011676,NRQ,0,Not Required
T20220011969,NRQ,0,Not Required
T20220012122,NRQ,0,Not Required
T20220012482,Z01,2,On freeway (between interchanges)
T20220012906,Z01,0,On freeway (between interchanges)
T20220013433,B01,0,Vehicle going straight through
T20220013686,B01,0,Vehicle going straight through
T20220013765,X02,0,Fell from vehicle
T20220013836,W01,2,Leaves carriageway to left
T20220014107,Z01,1,On freeway (between interchanges)
T20220014127,Q01,0,Poles (telephone/electricity)
T20220014636,NRQ,0,Not Required
T20220014658,N02,0,Mid-block
T20220014940,N01,1,Intersection
T20220015363,NRQ,0,Not Required
T20220015916,V01,0,No vehicle mounted/struck
T20220016031,NRQ,0,Not Required
T20220016095,V02,1,Kerb(roadside) mounted/struck
T20220016270,NRQ,0,Not Required
T20220016282,A01,0,Vehicle entering intersection
T20220016716,V01,0,No vehicle mounted/struck
T20220016903,NRQ,0,Not Required
T20220016964,H04,0,Vehicle reverse departing
T20220017431,NRQ,0,Not Required
T20220017684,Q02,0,Tree (shrub/scrub)
T20220017760,NRQ,0,Not Required
T20220018224,Q02,0,Tree (shrub/scrub)
T20220018357,N02,0,Mid-block
T20220018413,NRQ,0,Not Required
T20220018601,V03,1,Traffic island mounted/struck
T20220018804,A02,0,Vehicle leaving intersection
T20220019206,N02,0,Mid-block
T20220019687,NRQ,0,Not Required
T20220019888,NRQ,0,Not Required
T20220020586,F03,0,Footpath unknown
T20220021385,NRQ,0,Not Required
T20220021566,V05,1,Median mounted/struck
T20220021605,Q01,0,Poles (telephone/electricity)
T20220021873,G01,0,Vehicle moving foward - under control
T20220021906,G01,0,Vehicle moving foward - under control
T20220022361,A01,0,Vehicle entering intersection
T20220022461,A01,0,Vehicle entering intersection
T20220022814,NRQ,0,Not Required
T20220022824,N02,0,Mid-block
T20220023013,V01,1,No vehicle mounted/struck
T20220023044,K02,0,Other separator
T20220023458,N01,1,Intersection
T20220023557,R02,0,Kerb parking - parallel
T20220023641,NRQ,0,Not Required
T20220023984,N02,0,Mid-block
T20220024200,NRQ,0,Not Required
T20220024227,A01,0,Vehicle entering intersection
T20220024393,NRQ,0,Not Required
T20220025118,L03,1,Road straight at mid-block
T20220025394,NRQ,0,Not Required
T20220025661,V01,1,No vehicle mounted/struck
T20220025756,NRQ,0,Not Required
T20220026058,B01,0,Vehicle going straight through
T20220026136,B01,1,Vehicle going straight through
T20220027324,V05,1,Median mounted/struck
T20220027340,Y01,0,Any vehicle (include trailer or parked car)
T20220027347,N02,0,Mid-block
T20220027494,N02,0,Mid-block
T20220027501,Z01,1,On freeway (between interchanges)
T20220027541,R02,0,Kerb parking - parallel
T20220027702,V01,0,No vehicle mounted/struck
T20220027714,N01,0,Intersection
T20220027821,V01,1,No vehicle mounted/struck
T20220027850,A01,0,Vehicle entering intersection
T20220027920,Y01,0,Any vehicle (include trailer or parked car)
T20220028009,NRQ,0,Not Required
T20220029552,B03,1,Vehicle turning left
T20230000090,L03,0,Road straight at mid-block
T20230000263,Z01,0,On freeway (between interchanges)
T20230000307,V01,0,No vehicle mounted/struck
T20230000476,NRQ,0,Not Required
T20230001146,Z06,2,On exit ramp
T20230002069,NRQ,0,Not Required
T20230002162,NRQ,0,Not Required
T20230002384,N02,1,Mid-block
T20230002699,B02,1,Vehicle turning right
T20230002810,N02,0,Mid-block
T20230002817,V01,1,No vehicle mounted/struck
T20230002961,Q03,0,Fences (including gates)
T20230003703,Q10,0,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20230003798,V01,0,No vehicle mounted/struck
T20230004399,NRQ,0,Not Required
T20230004465,NRQ,0,Not Required
T20230005441,R01,0,Kerb parking - angle
T20230005646,D04,0,Pedestrian emerged from behindtram
T20230006067,I01,2,Private driveway/laneway
T20230006094,W02,2,Leaves carriageway to right
T20230006286,S01,2,Collision on first half of carriageway
T20230006295,NRQ,0,Not Required
T20230006731,NRQ,0,Not Required
T20230006952,Z01,1,On freeway (between interchanges)
T20230007173,N02,0,Mid-block
T20230007253,L03,0,Road straight at mid-block
T20230007474,N01,0,Intersection
T20230007509,Q02,0,Tree (shrub/scrub)
T20230007971,N02,0,Mid-block
T20230008389,Q09,0,Buildings
T20230008554,A01,0,Vehicle entering intersection
T20230009366,N02,0,Mid-block
T20230010051,NRQ,0,Not Required
T20230010084,NRQ,0,Not Required
T20230010495,V02,1,Kerb(roadside) mounted/struck
T20230010733,Q34,0,Animals - Horse (not ridden)
T20230010787,A01,0,Vehicle entering intersection
T20230010873,A01,0,Vehicle entering intersection
T20230010990,NRQ,0,Not Required
T20230011179,V01,1,No vehicle mounted/struck
T20230011292,Z01,0,On freeway (between interchanges)
T20230011318,V01,0,No vehicle mounted/struck
T20230012015,Z01,3,On freeway (between interchanges)
T20230012124,Q10,2,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20230012322,Z01,0,On freeway (between interchanges)
T20230013021,Q07,0,Guard rail
T20230013100,X02,0,Fell from vehicle
T20230013110,N01,0,Intersection
T20230013535,Q23,0,Roadworks (Dirt sign/barrier/excavation)
T20230013735,NRQ,0,Not Required
T20230013913,NRQ,0,Not Required
T20230014103,V02,1,Kerb(roadside) mounted/struck
T20230014177,N02,0,Mid-block
T20230014747,V01,1,No vehicle mounted/struck
T20230014972,NRQ,0,Not Required
T20230014991,B01,1,Vehicle going straight through
T20230015224,V01,1,No vehicle mounted/struck
T20230015310,V01,1,No vehicle mounted/struck
T20230015379,Z01,0,On freeway (between interchanges)
T20230015466,NRQ,0,Not Required
T20230015787,M01,0,Vehicle turning through medianopening
T20230015891,R02,0,Kerb parking - parallel
T20230016131,A01,0,Vehicle entering intersection
T20230016172,Z02,0,At entrance ramp/local road intersection
T20230016801,N02,0,Mid-block
T20230017010,A03,0,Vehicle within intersection
T20230017583,Z01,0,On freeway (between interchanges)
T20230017988,NRQ,0,Not Required
T20230018295,V01,1,No vehicle mounted/struck
T20230018544,A03,0,Vehicle within intersection
T20230018584,NRQ,0,Not Required
T20230018838,R02,0,Kerb parking - parallel
T20230019293,A01,0,Vehicle entering intersection
T20230019655,A01,0,Vehicle entering intersection
T20230019783,NRQ,0,Not Required
T20230020041,Z01,1,On freeway (between interchanges)
T20230020632,A03,0,Vehicle within intersection
T20230020779,NRQ,0,Not Required
T20230020863,NRQ,0,Not Required
T20230021300,N02,0,Mid-block
T20230021545,A01,0,Vehicle entering intersection
T20230021629,C01,2,Pedestrian stepped off median strip
T20230021665,R02,0,Kerb parking - parallel
T20230021687,NRQ,0,Not Required
T20230021722,A01,0,Vehicle entering intersection
T20230021989,A01,0,Vehicle entering intersection
T20230022050,Q12,0,Traffic signals(i.e.Traffic lights)
T20230022277,B01,0,Vehicle going straight through
T20230022391,NRQ,0,Not Required
T20230023142,V01,1,No vehicle mounted/struck
T20230023768,L04,0,Road curved at mid-block
T20230024402,V07,1,Roundabout mounted/struck
T20230025335,B01,0,Vehicle going straight through
T20230025663,P02,0,Hit by veh fr dir opposite to initial dir of U-turning veh
T20230026312,V01,0,No vehicle mounted/struck
T20230026378,Q02,0,Tree (shrub/scrub)
T20230026642,Q02,0,Tree (shrub/scrub)
T20230027221,NRQ,0,Not Required
T20230027322,Q02,0,Tree (shrub/scrub)
T20230027391,NRQ,0,Not Required
T20230027515,V01,0,No vehicle mounted/struck
T20230027709,NRQ,0,Not Required
T20230027780,R01,0,Kerb parking - angle
T20230027868,V01,0,No vehicle mounted/struck
T20230028366,N01,1,Intersection
T20230028515,Z01,0,On freeway (between interchanges)
T20230028575,W02,2,Leaves carriageway to right
T20230028614,L03,0,Road straight at mid-block
T20230028635,A03,0,Vehicle within intersection
T20230028694,N01,1,Intersection
T20230028718,V01,1,No vehicle mounted/struck
T20230029013,W01,1,Leaves carriageway to left
T20230029129,Z01,1,On freeway (between interchanges)
T20230029221,B01,0,Vehicle going straight through
T20230030940,V01,1,No vehicle mounted/struck
T20230030969,NRQ,0,Not Required
T20230030996,Q09,0,Buildings
T20240000188,NRQ,0,Not Required
T20240000450,V01,0,No vehicle mounted/struck
T20240000638,A01,0,Vehicle entering intersection
T20240000648,A01,0,Vehicle entering intersection
T20240000662,NRQ,0,Not Required
T20240000676,A01,0,Vehicle entering intersection
T20240000691,NRQ,0,Not Required
T20240000915,Q04,0,Embankments
T20240000919,NRQ,0,Not Required
T20240001235,L01,0,Road straight at intersection
T20240001292,NRQ,0,Not Required
T20240001383,NRQ,0,Not Required
T20240001434,NRQ,0,Not Required
T20240001494,A01,0,Vehicle entering intersection
T20240001625,NRQ,0,Not Required
T20240001683,A03,0,Vehicle within intersection
T20240001699,NRQ,0,Not Required
T20240002225,N02,0,Mid-block
T20240002755,NRQ,0,Not Required
T20240003011,Z01,0,On freeway (between interchanges)
T20240003020,V05,2,Median mounted/struck
T20240003191,V05,1,Median mounted/struck
T20240003346,NRQ,0,Not Required
T20240003384,H03,0,Vehicle foward departing
T20240003482,N01,1,Intersection
T20240003521,NRQ,0,Not Required
T20240004426,NRQ,0,Not Required
T20240005452,Q06,1,Traffic signs (No parking No standing etc)
T20240005477,N02,0,Mid-block
T20240005614,V07,1,Roundabout mounted/struck
T20240005725,B02,1,Vehicle turning right
T20240005759,V01,1,No vehicle mounted/struck
T20240006047,K02,0,Other separator
T20240006257,A01,0,Vehicle entering intersection
T20240006351,V01,1,No vehicle mounted/struck
T20240006736,NRQ,0,Not Required
T20240006769,R02,0,Kerb parking - parallel
T20240006850,N02,1,Mid-block
T20240006902,Z01,1,On freeway (between interchanges)
T20240007584,L01,0,Road straight at intersection
T20240007745,A04,0,Vehicle in left turn slip lane
T20240008206,V01,0,No vehicle mounted/struck
T20240008600,Q10,0,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20240008914,NRQ,0,Not Required
T20240009174,NRQ,0,Not Required
T20240009398,Z07,2,At exit ramp/local road intersection
T20240009683,A01,0,Vehicle entering intersection
T20240009787,NRQ,0,Not Required
T20240010160,A01,0,Vehicle entering intersection
T20240010387,Q06,1,Traffic signs (No parking No standing etc)
T20240011064,NRQ,0,Not Required
T20240011583,N02,1,Mid-block
T20240012163,N02,0,Mid-block
T20240012626,H03,0,Vehicle foward departing
T20240012626,I01,1,Private driveway/laneway
T20240012716,Q01,0,Poles (telephone/electricity)
T20240013073,W01,2,Leaves carriageway to left
T20240013245,NRQ,0,Not Required
T20240014128,NRQ,0,Not Required
T20240014338,B01,1,Vehicle going straight through
T20240014459,A01,0,Vehicle entering intersection
T20240014460,A03,0,Vehicle within intersection
T20240014714,Q02,0,Tree (shrub/scrub)
T20240014968,Q04,0,Embankments
T20240015112,V01,1,No vehicle mounted/struck
T20240016818,A01,0,Vehicle entering intersection
T20240017454,K02,0,Other separator
T20240017645,N02,0,Mid-block
T20240018059,NRQ,0,Not Required
T20240018117,Y01,2,Any vehicle (include trailer or parked car)
T20240018314,K02,0,Other separator
T20240018440,I04,0,Commercial(includes shops/school/station) driveway
T20240018758,NRQ,0,Not Required
T20240019212,Q02,0,Tree (shrub/scrub)
T20240020636,L03,1,Road straight at mid-block
T20240021026,A03,0,Vehicle within intersection
T20240021944,NRQ,0,Not Required
T20240022447,NRQ,0,Not Required
T20240023055,NRQ,0,Not Required
T20240024343,V01,1,No vehicle mounted/struck
T20240024716,NRQ,0,Not Required
T20240025207,K02,0,Other separator
T20240025278,B03,1,Vehicle turning left
T20240025670,N02,0,Mid-block
T20240025709,A04,0,Vehicle in left turn slip lane
T20240025887,V01,1,No vehicle mounted/struck
T20240026190,Q02,0,Tree (shrub/scrub)
T20240026501,NRQ,0,Not Required
T20240026516,V01,2,No vehicle mounted/struck
T20240026935,N01,0,Intersection
T20240026998,NRQ,0,Not Required
T20240027572,Q03,0,Fences (including gates)
T20240028086,K02,0,Other separator
T20240028210,Q09,2,Buildings
T20240028566,Q07,2,Guard rail
T20240028614,N01,1,Intersection
T20240028736,B02,1,Vehicle turning right
T20240029383,I06,0,Laneway
T20240029431,V01,1,No vehicle mounted/struck
T20240029717,NRQ,0,Not Required
T20240029768,V01,2,No vehicle mounted/struck
T20240030008,N02,0,Mid-block
T20240030152,V01,0,No vehicle mounted/struck
T20240030431,H03,0,Vehicle foward departing
T20240031260,K02,0,Other separator
T20240031691,N02,0,Mid-block
T20240032060,N02,0,Mid-block
T20240032062,L03,1,Road straight at mid-block
T20240032098,Q02,0,Tree (shrub/scrub)
T20240032288,N02,0,Mid-block
T20240032635,NRQ,0,Not Required
T20240033347,NRQ,0,Not Required
T20240033422,NRQ,0,Not Required
T20250000017,Q01,0,Poles (telephone/electricity)
T20250000227,V01,0,No vehicle mounted/struck
T20250000645,Q06,0,Traffic signs (No parking No standing etc)
T20250001004,A03,0,Vehicle within intersection
T20250001640,L04,1,Road curved at mid-block
T20250001675,NRQ,0,Not Required
T20250001795,Q04,0,Embankments
T20250002013,W02,1,Leaves carriageway to right
T20250002114,NRQ,0,Not Required
T20250002711,NRQ,0,Not Required
T20250002848,V01,1,No vehicle mounted/struck
T20250003534,NRQ,0,Not Required
T20250003926,NRQ,0,Not Required
T20250003929,I04,0,Commercial(includes shops/school/station) driveway
T20250004218,K02,0,Other separator
T20250005476,NRQ,0,Not Required
T20250005478,NRQ,0,Not Required
T20250005503,NRQ,0,Not Required
T20250004633,F02,0,Paved footpath
T20250018808,NRQ,0,Not Required
T20120000225,N01,1,Intersection
T20120000352,V01,1,No vehicle mounted/struck
T20120000458,W02,2,Leaves carriageway to right
T20120001033,Q01,3,Poles (telephone/electricity)
T20120001135,Q04,1,Embankments
T20120001456,N02,1,Mid-block
T20120001458,W01,2,Leaves carriageway to left
T20120001462,V01,1,No vehicle mounted/struck
T20120001470,NRQ,1,Not Required
T20120001978,Q02,2,Tree (shrub/scrub)
T20120002146,NRQ,1,Not Required
T20120002585,NRQ,1,Not Required
T20120002937,NRQ,1,Not Required
T20120003126,NRQ,1,Not Required
T20120003271,V01,1,No vehicle mounted/struck
T20120003299,L03,1,Road straight at mid-block
T20120003908,N01,1,Intersection
T20120004256,Z01,1,On freeway (between interchanges)
T20120005068,N01,1,Intersection
T20120005089,NRQ,1,Not Required
T20120005220,Q01,2,Poles (telephone/electricity)
T20120005308,V01,1,No vehicle mounted/struck
T20120005474,N01,1,Intersection
T20120006225,NRQ,1,Not Required
T20120006441,Q10,2,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20120006805,N02,1,Mid-block
T20120006875,A01,2,Vehicle entering intersection
T20120007116,R02,1,Kerb parking - parallel
T20120008233,V05,1,Median mounted/struck
T20120008307,W01,3,Leaves carriageway to left
T20120008605,W01,2,Leaves carriageway to left
T20120009136,B01,2,Vehicle going straight through
T20120009567,V01,1,No vehicle mounted/struck
T20120009632,NRQ,1,Not Required
T20120009807,A02,1,Vehicle leaving intersection
T20120009810,V02,1,Kerb(roadside) mounted/struck
T20120009816,NRQ,1,Not Required
T20120010338,S02,3,Collision on second half of carriageway
T20120010714,L03,1,Road straight at mid-block
T20120010881,Q02,2,Tree (shrub/scrub)
T20120010917,NRQ,1,Not Required
T20120011100,A01,2,Vehicle entering intersection
T20120011597,N02,1,Mid-block
T20120011883,Q10,2,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20120011939,NRQ,1,Not Required
T20120011949,A03,2,Vehicle within intersection
T20120012207,A01,2,Vehicle entering intersection
T20120012698,A02,1,Vehicle leaving intersection
T20120012842,NRQ,1,Not Required
T20120012987,V02,1,Kerb(roadside) mounted/struck
T20120013212,N01,1,Intersection
T20120013635,I04,1,Commercial(includes shops/school/station) driveway
T20120013670,Z01,1,On freeway (between interchanges)
T20120013734,V01,1,No vehicle mounted/struck
T20120014582,V02,1,Kerb(roadside) mounted/struck
T20120015367,A03,2,Vehicle within intersection
T20120015660,N02,1,Mid-block
T20120016038,A03,2,Vehicle within intersection
T20120016052,N01,1,Intersection
T20120016150,W02,3,Leaves carriageway to right
T20120016265,A01,2,Vehicle entering intersection
T20120016611,A01,2,Vehicle entering intersection
T20120016611,N01,1,Intersection
T20120017139,NRQ,1,Not Required
T20120017160,N01,1,Intersection
T20120017291,NRQ,1,Not Required
T20120017435,Z02,2,At entrance ramp/local road intersection
T20120017470,Q10,2,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20120017548,NRQ,0,Not Required
T20120017929,N02,1,Mid-block
T20120018174,NRQ,1,Not Required
T20120018334,N01,1,Intersection
T20120018474,NRQ,1,Not Required
T20120018876,Q07,3,Guard rail
T20120019103,NRQ,1,Not Required
T20120019124,NRQ,1,Not Required
T20120019856,B02,2,Vehicle turning right
T20120019881,A01,0,Vehicle entering intersection
T20120020590,V01,1,No vehicle mounted/struck
T20120021538,NRQ,0,Not Required
T20120021873,I04,1,Commercial(includes shops/school/station) driveway
T20120022225,N01,1,Intersection
T20120022389,NRQ,1,Not Required
T20120022505,NRQ,1,Not Required
T20120022692,Q02,3,Tree (shrub/scrub)
T20120022993,H03,2,Vehicle foward departing
T20120023083,Q03,3,Fences (including gates)
T20120023091,Q03,2,Fences (including gates)
T20120023116,Q02,2,Tree (shrub/scrub)
T20120023330,S03,3,On footpath
T20120023530,B02,2,Vehicle turning right
T20120023966,Z01,1,On freeway (between interchanges)
T20120024405,N02,1,Mid-block
T20120024492,Q02,2,Tree (shrub/scrub)
T20120024606,B02,2,Vehicle turning right
T20120024704,A01,2,Vehicle entering intersection
T20120024969,NRQ,1,Not Required
T20120025364,A01,2,Vehicle entering intersection
T20120025756,V01,1,No vehicle mounted/struck
T20120026735,N02,1,Mid-block
T20120027423,NRQ,1,Not Required
T20120027522,Z09,1,At local rd I/S or M/B with RRP/RS spanning part of freeway
T20120027570,I05,1,Not known
T20120027886,N01,1,Intersection
T20120027923,Z01,3,On freeway (between interchanges)
T20120027954,P01,1,Hit by veh from same dir as initial dir of U-turning veh
T20120028086,V02,2,Kerb(roadside) mounted/struck
T20120028812,A01,1,Vehicle entering intersection
T20130000323,A01,1,Vehicle entering intersection
T20130000480,I01,3,Private driveway/laneway
T20130001023,B02,2,Vehicle turning right
T20130002033,K02,1,Other separator
T20130002119,NRQ,1,Not Required
T20130002162,A01,1,Vehicle entering intersection
T20130002398,H01,2,Vehicle foward entering
T20130003179,NRQ,1,Not Required
T20130003787,N01,1,Intersection
T20130004030,V01,2,No vehicle mounted/struck
T20130004409,V01,2,No vehicle mounted/struck
T20130004505,W01,3,Leaves carriageway to left
T20130004507,V01,2,No vehicle mounted/struck
T20130004508,NRQ,1,Not Required
T20130005139,Q07,1,Guard rail
T20130005501,L01,1,Road straight at intersection
T20130005594,V01,1,No vehicle mounted/struck
T20130005626,NRQ,1,Not Required
T20130005974,N01,2,Intersection
T20130006013,I04,2,Commercial(includes shops/school/station) driveway
T20130006399,B01,2,Vehicle going straight through
T20130006467,Z01,2,On freeway (between interchanges)
T20130006627,A01,1,Vehicle entering intersection
T20130006680,M01,0,Vehicle turning through medianopening
T20130006807,Q04,1,Embankments
T20130007170,N02,1,Mid-block
T20130007283,N01,3,Intersection
T20130007289,W01,3,Leaves carriageway to left
T20130007340,S01,2,Collision on first half of carriageway
T20130007838,B02,2,Vehicle turning right
T20130008236,S01,3,Collision on first half of carriageway
T20130008521,Z01,2,On freeway (between interchanges)
T20130009125,NRQ,1,Not Required
T20130009180,N01,2,Intersection
T20130009803,NRQ,1,Not Required
T20130009811,V02,2,Kerb(roadside) mounted/struck
T20130009819,W01,3,Leaves carriageway to left
T20130010027,Q10,1,Other objects (Telephone/Culvert/RX) Fixed/Not Fixed
T20130010132,H03,1,Vehicle foward departing
T20130010132,S01,3,Collision on first half of carriageway
T20130010643,A01,2,Vehicle entering intersection
T20130010690,I04,2,Commercial(includes shops/school/station) driveway
T20130011472,I05,1,Not known
T20130011669,N02,1,Mid-block
T20130011957,W01,2,Leaves carriageway to left
T20130011987,Q07,0,Guard rail
T20130012023,NRQ,0,Not Required
T20130012151,NRQ,1,Not Required
T20130012176,B03,2,Vehicle turning left
T20130012509,V01,2,No vehicle mounted/struck
T20130012592,NRQ,1,Not Required
T20130013319,NRQ,1,Not Required
T20130013483,V01,2,No vehicle mounted/struck
T20130013505,W01,3,Leaves carriageway to left
T20130014085,W01,3,Leaves carriageway to left
T20130014236,P01,1,Hit by veh from same dir as initial dir of U-turning veh
T20130014289,V01,1,No vehicle mounted/struck
T20130014324,M01,1,Vehicle turning through medianopening
T20130014353,N02,1,Mid-block
T20130014694,I01,2,Private driveway/laneway
T20130014806,I04,2,Commercial(includes shops/school/station) driveway
T20130015064,H03,1,Vehicle foward departing
T20130015150,Q03,1,Fences (including gates)
T20130015489,A01,1,Vehicle entering intersection
T20130016021,V02,2,Kerb(roadside) mounted/struck
T20130016173,V01,2,No vehicle mounted/struck
T20130016303,NRQ,1,Not Required
T20130017106,N01,1,Intersection
T20130017230,Q01,1,Poles (telephone/electricity)
T20130017417,W01,3,Leaves carriageway to left
T20130017441,V01,2,No vehicle mounted/struck
T20130018192,N02,1,Mid-block
T20130018411,NRQ,1,Not Required
T20130018424,A01,1,Vehicle entering intersection
T20130018470,K02,0,Other separator
T20130018474,R02,0,Kerb parking - parallel
T20130018547,A01,1,Vehicle entering intersection
T20130018780,V05,2,Median mounted/struck
T20130019134,Q01,1,Poles (telephone/electricity)
T20130019192,Q01,1,Poles (telephone/electricity)
T20130020397,NRQ,1,Not Required
T20130020538,Q02,1,Tree (shrub/scrub)
T20130020653,NRQ,1,Not Required
T20130021576,NRQ,1,Not Required
T20130021737,N01,2,Intersection
T20130021824,Q31,1,Animals - Domestic (Cats and Dogs)
T20130021922,V01,2,No vehicle mounted/struck
T20130022121,Q04,1,Embankments
T20130022363,NRQ,1,Not Required
T20130022687,N02,1,Mid-block
T20130023242,A01,1,Vehicle entering intersection
T20130023376,Q02,1,Tree (shrub/scrub)
T20130023716,B02,2,Vehicle turning right
T20130023785,NRQ,1,Not Required
T20130024356,Q02,1,Tree (shrub/scrub)
T20130024590,Q01,1,Poles (telephone/electricity)
T20130024724,Q02,2,Tree (shrub/scrub)
T20130024776,N02,1,Mid-block
T20130025341,NRQ,1,Not Required
T20130025455,A01,1,Vehicle entering intersection
T20130025585,Z01,2,On freeway (between interchanges)
T20130025609,L03,1,Road straight at mid-block
T20130025871,V01,1,No vehicle mounted/struck
T20130025898,W02,3,Leaves carriageway to right
T20130026133,N02,0,Mid-block
T20130026309,NRQ,1,Not Required
T20130026421,N02,1,Mid-block
T20130026468,N02,1,Mid-block
T20130026614,Z07,1,At exit ramp/local road intersection
T20130026630,V01,2,No vehicle mounted/struck
T20130026720,A02,1,Vehicle leaving intersection
T20130026883,Q02,1,Tree (shrub/scrub)
T20140000420,V02,2,Kerb(roadside) mounted/struck
T20140000454,N01,1,Intersection
T20140000529,V06,2,Separation mounted/struck
T20140000752,Q02,1,Tree (shrub/scrub)
T20140000754,L04,1,Road curved at mid-block
T20140000908,W02,2,Leaves carriageway to right
T20140001659,M01,1,Vehicle turning through medianopening
T20140001814,S01,3,Collision on first half of carriageway
T20140002054,NRQ,1,Not Required
T20140002406,NRQ,1,Not Required
T20140002443,A01,1,Vehicle entering intersection
T20140002950,I01,2,Private driveway/laneway
T20140003340,W01,3,Leaves carriageway to left
T20140003476,W01,3,Leaves carriageway to left
T20140003855,Z01,2,On freeway (between interchanges)
T20140004302,Q03,2,Fences (including gates)
T20140004330,L03,1,Road straight at mid-block
T20140004389,Q07,2,Guard rail
T20140004513,Q03,1,Fences (including gates)
T20140004552,N01,1,Intersection
T20140005376,A03,2,Vehicle within intersection
T20140005604,Q01,1,Poles (telephone/electricity)
T20140005655,V01,2,No vehicle mounted/struck
T20140005978,Z01,3,On freeway (between interchanges)
T20140006522,V02,1,Kerb(roadside) mounted/struck
T20140006723,N02,1,Mid-block
T20140006853,N01,2,Intersection
T20140006973,N02,1,Mid-block
T20140007071,NRQ,1,Not Required
T20140007238,N02,1,Mid-block
T20140007244,N02,1,Mid-block
T20140007259,Z01,1,On freeway (between interchanges)
T20140008137,Q01,1,Poles (telephone/electricity)
T20140008524,Q02,0,Tree (shrub/scrub)
T20140009563,NRQ,1,Not Required
T20140010003,V01,1,No vehicle mounted/struck
T20140010709,V01,1,No vehicle mounted/struck
T20140011005,N02,2,Mid-block
T20140011350,A01,1,Vehicle entering intersection
T20140011355,NRQ,1,Not Required
T20140011451,L03,1,Road straight at mid-block
T20140011487,Q02,1,Tree (shrub/scrub)
T20140012904,V02,2,Kerb(roadside) mounted/struck
T20140013055,NRQ,0,Not Required
T20140013187,E04,1,Pedestrian standing
T20140013504,F02,3,Paved footpath
T20140013949,A01,2,Vehicle entering intersection
T20140014068,A01,1,Vehicle entering intersection
T20140014486,N01,1,Intersection
T20140015143,NRQ,1,Not Required
T20140016140,NRQ,1,Not Required
T20140016189,N01,1,Intersection
T20140016209,A01,1,Vehicle entering intersection
T20140016535,NRQ,1,Not Required
T20140016890,V02,2,Kerb(roadside) mounted/struck
T20140017087,P02,2,Hit by veh fr dir opposite to initial dir of U-turning veh
T20140017356,V01,1,No vehicle mounted/struck
T20140018117,NRQ,1,Not Required
T20140018625,V01,2,No vehicle mounted/struck
T20140018652,NRQ,1,Not Required
T20140018772,NRQ,0,Not Required
T20140019187,A01,1,Vehicle entering intersection
T20140019521,Q07,1,Guard rail
T20140020107,B02,0,Vehicle turning right
T20140020316,NRQ,0,Not Required
T20140020536,NRQ,0,Not Required
T20140020551,NRQ,0,Not Required
T20140020806,A03,0,Vehicle within intersection
T20140021401,W02,2,Leaves carriageway to right
T20140021664,F02,0,Paved footpath
T20140021866,Q07,0,Guard rail
T20140022366,NRQ,0,Not Required
